customerid,customerid of PerfDemoCombined_train,Max(loannumber),Mean(loannumber),Sum(loannumber),Max(durationforapproval),Mean(durationforapproval),Sum(durationforapproval),Max(Interestrate),Mean(Interestrate),Sum(Interestrate),Max(referral_recode),Mean(referral_recode),Sum(referral_recode),Max(churn_flag),Mean(churn_flag),Sum(churn_flag),Max(AgeAtTimeofLoan),Pct_default,Mean(AgeAtTimeofLoan),Sum(AgeAtTimeofLoan),systemloanid,loannumber,approveddate,creationdate,loanamount,totaldue,termdays,referredby,good_bad_flag,birthdate,bank_account_type,bank_account_recode,longitude_gps,latitude_gps,bank_name_clients,bank_branch_clients,employment_status_clients,employment_status_clients_recode,level_of_education_clients,Validation
8a6b87fe4d56512d014d57af446e7ad0,8a6b87fe4d56512d014d57af446e7ad0,2,1.5,3,1.018888889,1.010416667,2.020833333,365,365,730,1,1,2,1,1,2,45,100,44.6,89,301985761,2,06:01.0,05:54.0,10000,11500,15,8a858e495cef1ef1015cef8066103757,Good,00:00.0,Current,Other,3.4195783,6.4342448,Diamond Bank,LEKKI EPE,Permanent,Permanent,Graduate,Training
8a858e0a5668e69c01567e19e7626d39,8a858e0a5668e69c01567e19e7626d39,2,1.5,3,1.02,1.01125,2.0225,365,365,730,0,0,0,0,0,0,27,0,26.7,53,301998905,2,38:58.0,37:46.0,10000,11500,15,,Bad,00:00.0,Savings,Savings,7.0801593,5.4794504,Zenith Bank,,Student,Student,,Training
8a858e0b5cf4883c015cf7f00f2b1efc,8a858e0b5cf4883c015cf7f00f2b1efc,2,1.5,3,1.018888889,1.010277778,2.020555556,365,365,730,1,1,2,0,0,0,27,0,27.4,55,301981158,2,54:09.0,54:03.0,10000,11500,15,8a858f795896e56b0158a4eb84d1648d,Bad,00:00.0,Savings,Savings,5.5920183,6.3235483,UBA,,Permanent,Permanent,,Test
8a858e0b5cf4883c015cf7f015511f70,8a858e0b5cf4883c015cf7f015511f70,2,1.5,3,1.018611111,1.010138889,2.020277778,365,365,730,0,0,0,1,1,2,38,100,38.2,76,301998887,2,26:42.0,26:36.0,10000,11500,15,,Good,00:00.0,Savings,Savings,3.3885508,6.4539447,EcoBank,,,Unknown,,Test
8a858e0b5cf4883c015cf56488eb4d41,8a858e0b5cf4883c015cf56488eb4d41,2,1.5,3,1.018888889,1.010277778,2.020555556,365,365,730,0,0,0,1,1,2,41,100,41.3,83,301981322,2,44:05.0,43:59.0,10000,13000,30,,Good,00:00.0,Savings,Savings,5.6272822,6.3217533,First Bank,"40,SAPELE ROAD ,OPPOSITE DUMAZ JUNCTION BENIN CITY EDO STATE.",Permanent,Permanent,Secondary,Test
8a858e0b5cfa2028015cfd224a806b9a,8a858e0b5cfa2028015cfd224a806b9a,2,1.5,3,1.194444444,1.106666667,2.213333333,365,365,730,0,0,0,1,1,2,31,100,31.2,62,301959402,2,14:24.0,02:44.0,10000,13000,30,,Good,00:00.0,Savings,Savings,3.3549943,6.5397064,GT Bank,,Permanent,Permanent,,Training
8a858e0b5cfa2028015d099b789b229f,8a858e0b5cfa2028015d099b789b229f,2,1.5,3,1.019166667,1.010833333,2.021666667,365,365,730,0,0,0,1,1,2,24,100,24.2,48,302002420,2,29:59.0,29:50.0,10000,11500,15,,Good,00:00.0,Savings,Savings,3.5224291,6.4247056,Diamond Bank,,,Unknown,,Test
8a858e0b5d1d8104015d1db8dcf31765,8a858e0b5d1d8104015d1db8dcf31765,2,1.5,3,1.019444444,1.011388889,2.022777778,365,365,730,0,0,0,1,1,2,33,100,33.1,66,301977647,2,38:23.0,37:13.0,10000,11500,15,,Good,00:00.0,Savings,Savings,8.8464408,9.8824985,GT Bank,,Permanent,Permanent,,Training
8a858e0b5d1d8104015d1dcb82a0210c,8a858e0b5d1d8104015d1dcb82a0210c,2,1.5,3,1.003333333,1.0025,2.005,365,365,730,0,0,0,1,0.5,1,44,50,44.3,89,302000066,2,48:18.0,48:12.0,10000,11500,15,,Good,00:00.0,Savings,Savings,3.1483217,6.4638023,GT Bank,,,Unknown,,Test
8a858e0f5c45466f015c55c7e09d5e9c,8a858e0f5c45466f015c55c7e09d5e9c,2,1.5,3,1.003055556,1.002638889,2.005277778,365,365,730,0,0,0,0,0,0,30,0,30.1,60,301991394,2,44:32.0,44:24.0,10000,13000,30,,Bad,00:00.0,Savings,Savings,7.8819306,8.8536729,UBA,,,Unknown,,Training
8a858e0f5c45466f015c5469454d1227,8a858e0f5c45466f015c5469454d1227,2,1.5,3,1.019166667,1.010277778,2.020555556,365,365,730,1,1,2,1,1,2,23,100,23.3,47,301978189,2,55:12.0,55:07.0,10000,13000,30,8a858f605b911d60015b9b0d0fce6913,Good,00:00.0,Savings,Savings,6.9313152,4.8061756,Diamond Bank,,Permanent,Permanent,,Validation
8a858e0f5c45466f015c536697241575,8a858e0f5c45466f015c536697241575,2,1.5,3,1.004722222,1.00375,2.0075,365,365,730,0,0,0,1,1,2,35,100,34.5,69,301991701,2,33:33.0,33:16.0,10000,11500,15,,Good,00:00.0,Savings,Savings,8.8633286,9.8119354,Diamond Bank,,Permanent,Permanent,,Training
8a858e005c2154c2015c2c44a86e0eaf,8a858e005c2154c2015c2c44a86e0eaf,2,1.5,3,1.018888889,1.010277778,2.020555556,365,365,730,1,1,2,1,1,2,26,100,25.5,51,301970978,2,42:08.0,42:02.0,10000,13000,30,8a858f4655ca643c0155ccc7c480502f,Good,00:00.0,Savings,Savings,3.4454016,6.4361152,Stanbic IBTC,,Permanent,Permanent,,Test
8a858e005c2154c2015c2fb72f1e0b51,8a858e005c2154c2015c2fb72f1e0b51,2,1.5,3,1.019166667,1.010555556,2.021111111,365,365,730,1,1,2,1,1,2,39,100,39.4,79,302002283,2,40:26.0,40:19.0,10000,13000,30,8a858ee05bcdea36015bce28178318af,Good,00:00.0,Current,Other,3.3253233,6.6772667,Zenith Bank,,Permanent,Permanent,,Validation
8a858e005c2154c2015c218a9a451516,8a858e005c2154c2015c218a9a451516,2,1.5,3,1.001666667,1.001527778,2.003055556,365,365,730,0,0,0,0,0,0,28,0,27.6,55,301960306,2,30:35.0,30:30.0,10000,13000,30,,Bad,00:00.0,Savings,Savings,3.4515467,6.436961,FCMB,,Permanent,Permanent,,Test
8a858e005c2154c2015c258d28687efa,8a858e005c2154c2015c258d28687efa,2,1.5,3,1.002777778,1.002361111,2.004722222,365,365,730,0,0,0,1,1,2,28,100,28,56,301964580,2,46:51.0,46:44.0,10000,13000,30,,Good,00:00.0,Savings,Savings,3.3468977,6.637077,UBA,,,Unknown,,Training
8a858e005ca7abe3015ca9c692843861,8a858e005ca7abe3015ca9c692843861,2,1.5,3,1.018888889,1.010416667,2.020833333,365,365,730,1,1,2,1,1,2,47,100,46.6,93,301960017,2,05:16.0,05:09.0,10000,13000,30,8a858e215ca77c7f015ca871c384393d,Good,00:00.0,Savings,Savings,3.871098,7.3473618,Diamond Bank,,Permanent,Permanent,,Test
8a858e0059416900015946224e1779e9,8a858e0059416900015946224e1779e9,2,1.5,3,1.003055556,1.0025,2.005,365,365,730,0,0,0,0,0,0,30,0,29.7,59,301966989,2,08:19.0,08:12.0,10000,13000,30,,Bad,00:00.0,Savings,Savings,6.9979401,4.8319172,Stanbic IBTC,,Permanent,Permanent,,Validation
